spotifyuri,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Playlist Name,User Name,Password
spotify:track:5l5vMjzs7XQ7DJfyWRuWed,Momento,Primer Dia,Temple Within,1,3,125538,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:75D9esOK7ASfcREQAvbtql,Magica,Dream Runner,Magica,1,1,177214,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3ruGcz1vh9wdcLJ7IF4ek2,Dormiveglia,Benjamin Gustafsson,Presomnal,1,4,161020,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2ZOcIBtmGkwQeL1ZQxhCEy,Ava,Kasper Schill,Ava,1,1,168182,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6XDyO1ycRcaRfqLgXEDcQZ,Reverie,LUCHS,Chasing Cloud Nine,1,1,192850,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6RMjZgsE9IcQZqubTzLtDs,It Ends with Us,Steve Mokwebe,It Ends with Us,1,1,130191,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2gCd69plASs1CIhfArHlPQ,Floral Hymn,Echo Ark,Echo Ark,1,1,215750,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2whahz2VQOrE33jKPo5Wee,Still Now,MVS,Still Now,1,1,178932,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6LnG3cueIxb0SpZP3AfdUw,Triangle,Moon Laika,Triangle,1,1,106315,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1LQsAMbRfl2644biYjwHhz,Sway,Józef Gatysik,Sway,1,1,162448,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7LnU4vflcZ8fyuFaVxGtuN,The Book of Jen,Tedosio,The Book of Jen,1,1,167882,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:0CQskMydQ8AhtKhJUAolvE,Tallis One,Samuel Lindon,Tallis One,1,1,117401,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:02iKyyvlc3gZ8jLY04Mva1,Falling Forward,Trond Asker,Falling Forward,1,1,121750,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2p1PsXzDyK5vpFQueMlOmD,Mandala,Ivy Rue,Mandala,1,3,234242,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1dzc28LyRoVaw9FHYcsVx7,Paper Thin Reality,Ave Air,Paper Thin Reality,1,1,214073,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1jFwy6IBvTI01kzh9wSSV6,Interstatus,Steven Goldmund,Deep Below,1,3,245655,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:00ak5WSrRYU0oPhh1oGr9f,A Fighting Chance,Trevor Kowalski,Degrees Of Separation,1,3,190684,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5OR4eaaENBzYsij6ZZGem6,Daenerys,Primer Dia,Shaman Dreams,1,1,185000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:33WEwYZVLUtuYOHSEtVBlg,Quarantine,Justin Hurwitz,First Man (Original Motion Picture Soundtrack),1,34,135106,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1hYEnW3hjGnnvTuEUlAD6h,Introspective,Josie O'Connor,Introspective,1,1,174375,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5FRXHIqQWQwIjy736eeESN,Endless Dreams,Vilhelm Brandt,Endless Dreams,1,1,187983,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:049dXA0tNzvTYVIHILMY4j,The Gift,Gavin Luke,In This Moment,1,5,158574,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7uLFo7WHyKjEKi5Rm6qe2o,The Garden's Light,Trevor Kowalski,New Ambitions,1,3,193792,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5nMsoz257d3AbY8O8FC4Jx,Loveliness,Jean Petri,Moments of Tomorrow,1,1,110434,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:49LQIdr4hToVH3JdvzTQYC,Soft Upon Your Face,Ave Air,Paper Thin Reality,1,4,194836,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1BpAKG4TNBqkgtv33pQySC,The Sleeper,Claes Nilsson,The Sleeper,1,1,159071,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:14BDuD5GagBNTMrHekdBzM,Golden Chant,Joseph Beg,Gentle Arrival,1,3,310367,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2pypBNUUzViaP7Dswi9zpF,A Clear Mind,Julius Aston,A Clear Mind,1,1,173696,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5S7nfUHhiA3kfmyMPvhV6V,Divine Structure,Charlotte Funke,Episode,1,2,227874,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7Mr1C9U2R0bSyviqQ9IYuV,Breathe,Dilaz,In The Deep,1,4,216500,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1nPTaQHgrjKhSGb5ILEV47,Atoms,Ana Olgica,Atoms,1,1,139804,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:07tUhErHb7K8bdOcwyvbuK,Unrequited,Josef Passagio,Unrequited,1,1,126229,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1nqq9YCuHGnk9YabcqH1bp,The Calm,Dream Runner,Voices of the Forest,1,4,157428,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3FBk3DcCOC5gkhX50rbHbC,Magnetic,Strange Imagining,Magnetic,1,1,172456,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4t1GRQrFiv50HmjYbUXooo,Solitude Island,Calm Shores,Fall Of A Raindrop,1,2,236529,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5inRFwMMBpjpHzKHT2f2fB,Only If,Limestone Quarry,Only If,1,1,140850,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4X7fW4opz287E8BXBMjVJI,Meadow,Sebastian Winskog,Meadow / Forests,1,1,163976,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1e3JUGxqyfe94XBFnWdP11,Talisman Stallion,Bela Nemeth,Talisman Stallion,1,1,120549,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7gpL5CorPuYBthvZkPPFGd,Glitching,Solvekin,Glitching,1,1,138798,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5NRhAVJrW5o4FK1OKKgbgQ,Lakeshore,Wolfgang Snow,Frostbite,1,2,150701,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:504NLPDUBRylbZUUQR97XX,The Watchtower,Sigimund,The Watchtower,1,1,205577,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:44rpvXgWhgUWmLUH12Nu58,Anona,Otto Totland,The Lost,1,4,207053,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:0ntmnrnM7BqzocwsJeT2PK,Anasazi,Morongo,Anasazi,1,1,219469,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:53gdJHHgCDSvJg5n3pNL0R,Divine,Amaranth Cove,All Around Us,1,3,194096,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1kbtQzzN5z8KjFZXfOH2H9,Crystal Clear,Johannes Bornlöf,The Road To Meteora,1,2,127200,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:01T3AjynqSMVfiAQCAfrKJ,Evolutionistically Yours,Józef Gatysik,Evolutionistically Yours,1,1,160897,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5zRjeZL6xjT6f7c8dkHqrB,La,Nils Frahm,Screws,1,7,190405,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3yMTAa0lNBMjF4rwoWRSRp,Dealings,Jonatan Mollberg,Last Days Of July,1,2,175662,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4TxfZzrq0dH2Wmfl4dAjN9,Ella's Lullaby,Enno Aare,Enno Aare,1,1,220384,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:30VnmNoXmeNMlDR6MxLP5U,Threads,Ebb & Flod,Moonrise,1,3,192793,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5JVtVJFun3pgNdDlUQlkOm,Introspection (Edit),Laraaji,Introspection (Edit),1,1,155411,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7jSQaXLzpLHjSQTev2krvT,Nemo Egg (Main Title),Thomas Newman,Finding Nemo (Original Motion Picture Soundtrack),1,3,76133,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7Bp4flLTs8PX9oP620atQF,"Floating, Always",Primer Dia,"Floating, Always",1,3,184230,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3OSr4tLBco2Me4WrexyoQR,Connection,Carl Borg,Tasteology Soundtrack,1,6,69818,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5EdblWf0gHqPPVhjQSLyLT,Vissel,José González,Vestiges & Claws,1,8,224773,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1F7vUCER63VfNzvZKTi2pn,Overture (For Other Halfs),Brian McBride,When the Detail Lost Its Freedom,1,1,398120,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2FcAtBp8X5Du0uumXpCYGD,"Floating, Floating",August Wilhelmsson,Transfixed,1,5,120000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4ZqmGnpiF9yLu7zEsf7m1y,Les Chevaux,Matt van Stern,Simplistique,1,2,217500,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3kgu8TFddPdy6gSJaQSeij,Solitude,Daigo Hanada,Ichiru,1,10,166830,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1vNNRQ0CHwdr5Q68T05sNF,Mauve (Fughetta),Arden Forest,Sapphire,1,4,147530,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6gp6sejiJXYU1i6xHPf8hh,This Moment,Bela Nemeth,This Moment,1,1,154663,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:557iYakWWJQeKbJS3UYMxG,Red Gold Yesterday,LUCHS,Dawning,1,3,138574,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2Ixv7ct5UPgvHb2si3uE9m,Breathe,Wilmer Norman,Soon,1,1,217000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3SsXxuvEu20CnDg7LUNFDY,Solêr,Otto Totland,Pinô,1,4,155880,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2erBrCFQNgGeMKVta0XVcJ,Crossing Over,Les Clouds,Crossing Over,1,1,240000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4WKJm0usdFOUQH5Y574WtZ,La Lluvia,Relajar,La Lluvia,1,1,198709,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5jxBweBbPFg53Ozudm6HrC,Faded Dreams,Aaron Lansing,Faded Dreams,1,1,111803,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:14MR12RkIvXHeqgaJI0ngI,Two,Binary One,Minimalia,1,3,188731,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2tl1FkMOJBxILCVsIWO5gg,Closer,Dream Runner,Magica,1,2,126069,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7gi7v5tKoJ1R7yunvDeU5F,Deep Forest - Cello Version,Christopher Varela,Deep Forest (Strings Version),1,1,112843,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4pR77cbN8yZzk4mgMb8aHu,Sleepers Beat Theme,Ben Lukas Boysen,Late Night Tales: Jon Hopkins,1,1,277223,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5O5ADm6Aj2z5EvuT4JdT0l,Lunar Symphony,Coyote Oldman,Tear of the Moon,1,4,390560,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5G9rra29bm2HtXcyDtRf1y,Finding It There,Goldmund,The Malady Of Elegance,1,3,220186,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1oen1dD68x1ZUOhy6WePRG,Worlds Apart,Rick Hagen,Forever Vanished,1,2,99737,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2jhrGvTh7nalekgaCk4gTP,Wings of Glass,La Reve,Wings of Glass,1,1,175681,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2XEDcR9jHaHJD97TdjjNpF,Dawning,Lights From A Distance,Dawning,1,1,167746,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:0tW204RLJbX8oocTStcA7U,Inner Journey,Deep Sleep,"Sleep Music: Lullabies to Help You Relax, Sleep, Meditate and Heal With Relaxing Piano Music, Nature Sounds and Natural Noise",1,13,153992,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7Jd0MqZq15T4pDWts2G6Yl,Emerald and Stone,"Brian Eno, Jon Hopkins, Leo Abrahams",Small Craft On A Milk Sea,1,13,132306,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5ff6FedsqhgHlRImvYsAwj,Beyond Voyager - Ambient Mix,Nucleus A.D.,Beyond Voyager,1,2,217603,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5HkfFg7ndFJ9DBIqX4fbhY,Sobraon Occasional,By Lotus,To Be Still,1,5,200175,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2MZSXhq4XDJWu6coGoXX1V,Avril 14th,Aphex Twin,Drukqs,1,9,125520,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2TOQzMaEqVVhdeheBVLOMm,The Giant,Dilia,The Giant,1,1,183686,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1DyJAS494qP85WAzYKHmr1,Degrees Of Separation,Trevor Kowalski,Degrees Of Separation,1,2,212863,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2JJz0U0hlpYZC3jD0nzjYi,Luna,Ebb & Flod,Luna,1,3,149632,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:59jDSGDLBUjDB8fr2BgoT2,Dorotea,Hushed,In Dreams,1,4,205000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1sGpjDlrzobaQW6nUPmVIR,An Ending (Ascent),Brian Eno,Pure Cinema Chillout,1,19,261493,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:54MQc7UtIAogdoU5h0KNOP,Twinkling Star,Clark Ingram,Twinkling Star,1,1,170784,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3QsoPGMF4htRG0IWr6tW5z,Shimbashi,Edo Vibes,Edo Vibes,1,1,182166,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7BX9pdIbf4LkCIWmFYp3tN,Celtic Cowboy,Charlotte Funke,Celtic Cowboy,1,1,152000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2C6BCDdtYjbbbAucqaw9NG,Squares of life,Piotr Miteska,Squares of Life,1,1,165034,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2arnhO5us8aYdi5kYBiQPa,Painting The Horizon,Deep Inside,Silent Shores,1,2,143777,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4KyJQKAFvEH4F52qSMuwIF,Olancha Farewell,Harold Budd,Lovely Thunder,1,4,138426,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6uWjjaiquXsjuQuks2mZME,Sugarcane,Ana Olgica,Sugarcane,1,1,144500,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5FoZCDCl6WhrAIm4Ygyjg7,Quiet Resource,Evelyn Stein,Quiet resource,1,1,207348,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2dv7Jf570NkaWlW7NcsYTa,Friendship Before Love,Cellophane Roses,Friendship Before Love,1,1,109544,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7CzyIeMXvK2BFc9rc6wqJf,Erin's Waltz,Per Magnusson,Erin's Waltz,1,1,197155,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5P8yZZg1zl6nAtgDEYFtsH,The Valley,Velodrome,Theme From Schindlers List,1,2,185853,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6efIeK8Md9RS43qoCTfM35,Vigil,"Jack Wall, EA Games Soundtrack",Mass Effect (EA Games Soundtrack),1,27,102480,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5nzGBQeLesWrD0J8Ctz75z,Sea Of Tranquility,Julius Aston,Sea Of Tranquility,1,1,175318,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4VH3rKj1tmhUZtX3U43jBq,The Whispers,Harold Budd,In The Mist,1,2,163000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2Vrtd9aLbni8sI8RV1lmwh,Return of Infinity,Becca,Return of Infinity,1,1,158428,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7agnxnigAzIOP4zHAOXbsk,Reminisce in D,kvíðahópur,Reminisce in D,1,1,134220,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3DpqDWkcWia60JWJwbVbDq,Close,Lunaire,Close,1,2,208078,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5iTCS5NpZYK8wJLJkbcvJY,Words Of Amber,Ólafur Arnalds,For Now I Am Winter,1,5,202933,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1dbkagpr2xin2caRwm4PoQ,Reverse Pads,La-Mu,The High Lands of Tibet,1,2,214167,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6tIgg4Lw3DImnjDVOFWugE,At Peace,Lucina Chase,At Peace,1,1,118750,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:10SGotpqSWPSvbIyMuWLS9,Theme from the Steps of Life,Belle Margaux,Catch the Fallen,1,2,72973,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2CX5QNXDNwqh87XhaVX9y7,Still Life,Hushed,In Dreams,1,3,158756,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3aWgBOVyv1dpxkofHDDHGe,A Glowing Heart,Deep Inside,Silent Shores,1,6,119187,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4HtGSunDdFD5QgCqI4zP29,Keep Breathing,Etheral Gust,Unspoken Words,1,1,177238,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:10Fb5CydCmYW3lqQGjNb04,Chasing Cloud Nine,LUCHS,Chasing Cloud Nine,1,5,162407,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:42ZTTDeBon4bTcSF3KA5F0,And The Flowers Were Gray,Evelyn Stein,And The Flowers Were Gray,1,1,171553,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4kgig1MUfc5p99MFYRRULy,Rapture,Aquasonic,Rapture,1,1,160000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1kEPich1V2XkWWMh3kSTbb,Sweet Frederik,Phamie Gow,Beyond the Milky Way,1,6,159680,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2Ai5UUXyxaulVbompgrzlo,Pinô,Otto Totland,Pinô,1,7,165995,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5eIifmrzK2XxqiABsZhYGK,Balm (Scaled Down Version),Peter Sandberg,Balm,1,4,126937,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7LW1LiX6gMkHpwCXlaq63g,Aoi,Arden Forest,Sapphire,1,3,127750,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7ww76pqFaCvzJkXq3ZlRWi,Solution,Turquoise & Fire,Traummacher,1,2,99228,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1nhuTS6xotWZima4bQJUvX,A Presence Felt,Gavin Luke,The Crossing,1,4,184001,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7tiXaPmrIYPy2x8pYw5n2m,"Fragment, Pt. 1",Daigo Hanada,Ichiru,1,4,128042,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5KlC2hzT0q5KHTTShSlzE5,The Same Answer,"Dan Romer, Saul Simon MacWilliams, Osei Essed",Jim: The James Foley Story (Original Motion Picture Soundtrack),1,1,89146,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:350OnYMO9dRxFJ7feR1YYv,La Torre Del Sueno,Meditaciónessa,Mariposas,1,2,230573,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1JhaLgkRU4M7GXfjMmsDAl,Cavatina,Tranquil Cove,Ambient Hits,1,4,204254,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5U463rClubkFesH8GRxJNa,Two Hearts,Sub-City Keys,Demi Sec,1,2,196000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6ueAOxTi3uTlpmnq1lyAFE,Dream 11 (whisper music) - Pt. 1,Max Richter,Sleep,1,47,188936,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
